cbsacode,cityname,num_nodes,num_edges,seed,num_edges_null,num_overlapping,fraction_overlapping
35620,NewYork,43996,310162,52,309368,33175,0.1069602336843327
35620,NewYork,43996,310162,50,309368,33265,0.10725040462725931
35620,NewYork,43996,310162,51,309368,32798,0.10574473984562906
31080,LosAngeles,27390,154210,54,153770,14787,0.09588872316970365
31080,LosAngeles,27390,154210,50,153770,14617,0.09478633032877246
31080,LosAngeles,27390,154210,51,153770,14655,0.09503274755203943
31080,LosAngeles,27390,154210,52,153770,14559,0.09441021983010181
31080,LosAngeles,27390,154210,53,153770,14712,0.09540237338693988
16980,Chicago,21283,171786,53,171470,23172,0.1348887569417764
16980,Chicago,21283,171786,56,171470,23174,0.13490039933405515
16980,Chicago,21283,171786,52,171470,23358,0.13597149942370157
16980,Chicago,21283,171786,55,171470,23136,0.1346791938807586
16980,Chicago,21283,171786,51,171470,22943,0.13355570302585776
16980,Chicago,21283,171786,50,171470,23374,0.1360646385619317
16980,Chicago,21283,171786,54,171470,23175,0.13490622053019455
19100,Dallas,15214,136292,56,136192,21511,0.15783024682299768
19100,Dallas,15214,136292,52,136192,21243,0.15586388049188507
19100,Dallas,15214,136292,53,136192,21343,0.15659759927215097
19100,Dallas,15214,136292,57,136192,21352,0.1566636339623749
19100,Dallas,15214,136292,58,136192,21390,0.15694244709887595
19100,Dallas,15214,136292,59,136192,21338,0.15656091333313768
19100,Dallas,15214,136292,50,136192,21722,0.15937839344935872
19100,Dallas,15214,136292,60,136192,21282,0.15615003081618878
19100,Dallas,15214,136292,54,136192,21469,0.157522084935286
19100,Dallas,15214,136292,55,136192,21469,0.157522084935286
19100,Dallas,15214,136292,51,136192,21603,0.1585052681008423
37980,Philadelphia,15616,123968,58,123570,19145,0.15443501548786784
37980,Philadelphia,15616,123968,57,123570,19162,0.1545721476510067
37980,Philadelphia,15616,123968,53,123570,19173,0.1546608802271554
37980,Philadelphia,15616,123968,52,123570,19213,0.15498354414042334
37980,Philadelphia,15616,123968,56,123570,19163,0.15458021424883842
37980,Philadelphia,15616,123968,51,123570,19121,0.15424141713990708
37980,Philadelphia,15616,123968,55,123570,19181,0.154725413009809
37980,Philadelphia,15616,123968,54,123570,19190,0.15479801239029428
37980,Philadelphia,15616,123968,50,123570,19069,0.15382195405265875
12060,Atlanta,16023,147194,55,146996,23704,0.16103917279236926
12060,Atlanta,16023,147194,51,146996,23668,0.16079459760588066
12060,Atlanta,16023,147194,50,146996,23921,0.16251341766648097
12060,Atlanta,16023,147194,54,146996,23650,0.16067231001263638
