street_type,distance_binned,barrier_score,ci_low,ci_high
motorway,0,1.1094799875058243,1.1493923838264402,1.069567591185209
motorway,500,1.105873584543629,1.1327847008036722,1.0789624682835852
motorway,1000,1.1028548976877424,1.1226374035299178,1.0830723918455665
motorway,1500,1.1031456050129926,1.1223223904584327,1.0839688195675525
motorway,2000,1.0956209084820787,1.1141083613383351,1.0771334556258214
motorway,2500,1.0861093770863914,1.1030471536080975,1.0691716005646859
motorway,3000,1.0828643573264174,1.098969950486484,1.0667587641663512
motorway,3500,1.0757032526588186,1.0917199993667146,1.0596865059509222
motorway,4000,1.06799522966358,1.081840754659448,1.054149704667712
motorway,4500,1.0588035815554897,1.07248386095564,1.0451233021553394
motorway,5000,1.0572373435958624,1.0704871107183407,1.0439875764733841
motorway,5500,1.0582877205162646,1.0735781060023288,1.0429973350302009
motorway,6000,1.0604099489895296,1.0741896067908023,1.0466302911882568
motorway,6500,1.059070184200055,1.0729442735499086,1.0451960948502008
motorway,7000,1.0502440418856955,1.0624015903157868,1.0380864934556047
motorway,7500,1.0428894776395856,1.0549183404049658,1.0308606148742059
motorway,8000,1.039003459935626,1.049804660342509,1.0282022595287428
motorway,8500,1.037229213403569,1.0485056159788757,1.0259528108282618
motorway,9000,1.036287443131824,1.0475042134636567,1.0250706727999914
motorway,9500,1.0340672167766036,1.0443546821436387,1.023779751409569
motorway,10000,1.0340781447303866,1.0445098965479902,1.023646392912783
primary,0,1.0769329885035055,1.1048078479476848,1.0490581290593262
primary,500,1.0727662055452043,1.0911159537050168,1.0544164573853918
primary,1000,1.0637008656536724,1.0754783473243932,1.0519233839829516
primary,1500,1.056630751716886,1.0678568894118214,1.0454046140219506
primary,2000,1.0534900927991684,1.0654655825506605,1.0415146030476758
primary,2500,1.0532824771535347,1.0650198109159725,1.041545143391097
primary,3000,1.054339930320552,1.0649261826533112,1.043753677987793
primary,3500,1.0520315220805734,1.0624186953497667,1.0416443488113796
primary,4000,1.0446978705434433,1.054204998109974,1.0351907429769123
primary,4500,1.0375703932937106,1.0464505364820034,1.028690250105417
primary,5000,1.0309240335847052,1.0395647164433006,1.0222833507261098
primary,5500,1.0323421581712364,1.042491594961851,1.022192721380622
primary,6000,1.0359148423097184,1.0475924432747126,1.0242372413447243
primary,6500,1.0359974710805822,1.0467572184841207,1.0252377236770431
primary,7000,1.0353647173562348,1.0455722722875644,1.025157162424906
primary,7500,1.0316878611079896,1.0415069105290575,1.0218688116869212
primary,8000,1.0312329230857844,1.0400160573913877,1.0224497887801802
primary,8500,1.0297112228596434,1.0386575902696091,1.0207648554496778
primary,9000,1.028259595414816,1.0381978379890044,1.0183213528406279
primary,9500,1.0257750545370494,1.0353386362010608,1.016211472873038
primary,10000,1.0276677005990311,1.0360463095686667,1.0192890916293955
residential,0,1.0384906329523227,1.0445473559318388,1.032433909972807
residential,500,1.034478818652929,1.0393217687474123,1.0296358685584457
residential,1000,1.027482546776464,1.0311854531420794,1.0237796404108488
residential,1500,1.021767525109134,1.025349536639283,1.018185513578985
residential,2000,1.0174189784056211,1.0211280584734865,1.0137098983377557
residential,2500,1.0137617015250426,1.0176425202007557,1.009880882849329
residential,3000,1.0117031927787807,1.015964090502568,1.0074422950549935
residential,3500,1.010909983652593,1.0152862189415897,1.0065337483635963
residential,4000,1.0111065447632972,1.0153917496580265,1.006821339868568
residential,4500,1.0097003546988812,1.014052499266263,1.0053482101314999
residential,5000,1.00984543390148,1.0144021257119835,1.0052887420909769
residential,5500,1.0100076702277674,1.0148157266002067,1.005199613855328
residential,6000,1.0107861146125003,1.0153209903823626,1.0062512388426381
residential,6500,1.010075963008181,1.01425740174497,1.0058945242713917
residential,7000,1.0088542770404128,1.0125182698547264,1.0051902842260982
residential,7500,1.0086779511185477,1.0123730672748636,1.0049828349622323
residential,8000,1.0089528916213069,1.012757418958077,1.0051483642845362
residential,8500,1.0085778835538872,1.0128145849084442,1.0043411821993307
residential,9000,1.008062325482329,1.012221695867211,1.0039029550974472
residential,9500,1.0070548668787873,1.0114384961183809,1.0026712376391942
residential,10000,1.008054320301738,1.012759334915271,1.0033493056882041
secondary,0,1.0503727917003673,1.0625017844359337,1.038243798964802
secondary,500,1.0506201078235278,1.0593956171084402,1.0418445985386158
secondary,1000,1.043360350166631,1.048687321300831,1.0380333790324303
secondary,1500,1.0406989851459796,1.046453497612745,1.0349444726792145
secondary,2000,1.033758453271765,1.039866761858479,1.0276501446850514
secondary,2500,1.0330336636231352,1.0388100933247741,1.0272572339214963
secondary,3000,1.0303428099362768,1.0358990693346377,1.0247865505379155
secondary,3500,1.0289863906322532,1.0345161806974812,1.0234566005670247
secondary,4000,1.025746752441775,1.0318074513507451,1.0196860535328047
secondary,4500,1.0255554502291289,1.0315107389938756,1.0196001614643817
secondary,5000,1.024407891929227,1.030297486317597,1.0185182975408573
secondary,5500,1.0239552562845768,1.0301945080598907,1.0177160045092635
secondary,6000,1.022572566991427,1.028337855904303,1.0168072780785509
secondary,6500,1.0234832124925897,1.0296777132653099,1.01728871171987
secondary,7000,1.02209214267287,1.0283754654279658,1.0158088199177742
secondary,7500,1.0242400406173766,1.0310044091722659,1.0174756720624873
secondary,8000,1.0227256953185022,1.0290292149501155,1.016422175686889
secondary,8500,1.0228570910915342,1.0291552541976945,1.0165589279853744
secondary,9000,1.0197379708175447,1.0261026765659014,1.013373265069188
secondary,9500,1.018365837267837,1.0248471999495234,1.0118844745861506
secondary,10000,1.0172216535532193,1.0236359378865258,1.0108073692199118
